,sex,age,l,m,s,loh,z=-3,z=-2,z=-1,z=0,z=1,z=2,z=3
0,1,0,-0.3053,13.4069,0.0956,L,10.184201600365041,11.133314382294984,12.20124575723157,13.4069,14.772869809448137,16.326297240962298,18.099970741548493
1,1,1,-0.1867,13.3976,0.09597,L,10.12124820769991,11.095001332178697,12.181948543257237,13.3976,14.759925511698919,16.289799664544685,18.011537859289902
2,1,2,-0.0681,13.3883,0.09634,L,10.055992203767437,11.055791041524763,12.162480536716691,13.3883,14.746984362047108,16.253958602976194,17.92655899530442
3,1,3,0.0505,13.3791,0.09672,L,9.988025455931234,11.01549324494136,12.142804938418251,13.3791,14.734303498414128,16.2191892965898,17.84544797776325
4,1,4,0.16899999999999998,13.3698,0.09709,L,9.917643135362985,10.97435095515912,12.122983015786334,13.3698,14.721374759194097,16.184602372641017,17.76671035926199
5,1,5,0.2876,13.3606,0.09746,L,9.844387035487395,10.932209078976788,12.103057756568457,13.3606,14.708553545123424,16.150686181864856,17.690815035555193
6,1,6,0.4062,13.3513,0.09784,L,9.767568063555567,10.888624163205789,12.082721443030817,13.3513,14.695768185166246,16.117504526022923,17.61785946397299
7,1,7,0.5247,13.3421,0.09821,L,9.687755666492475,10.844182169453038,12.062405060927246,13.3421,14.682961397201144,16.084700442527755,17.54704342538654
8,1,8,0.5094,13.3843,0.09769,L,9.744293908119609,10.89476257821458,12.1081395502142,13.3843,14.723125711389287,16.124504421961458,17.588329261014128
9,1,9,0.4941,13.4265,0.09716,L,9.80114660133155,10.945604768608108,12.154029525248434,13.4265,14.763091515476438,16.163875941581274,17.628922001701085
10,1,10,0.4789,13.4687,0.09664,L,9.857578096832363,10.996201785912664,12.199813887049203,13.4687,14.80313334605813,16.20337584244209,17.669679040761142
11,1,11,0.4636,13.511,0.09611,L,9.914452305838747,11.047167463117422,12.24585111421091,13.511,14.843091690371736,16.24258613176597,17.709927010016013
12,1,12,0.4483,13.5532,0.09559,L,9.970886666720578,11.097830389262757,12.291697840762756,13.5532,14.883023748023405,16.281833668141868,17.750273643909576
13,1,13,0.433,13.5954,0.09507,L,10.027299624695262,11.14851509579508,12.337572626381364,13.5954,14.922897873578632,16.320941641111144,17.790383101436817
14,1,14,0.4177,13.6377,0.09454,L,10.084110101503738,11.199547423061174,12.38369526468223,13.6377,14.962679774298326,16.35972627557294,17.829906331993715
15,1,15,0.4059,13.7174,0.09416000000000001,L,10.16179988898499,11.27692287640498,12.461682303374863,13.7174,15.045369901646888,16.446859672008816,17.92311217589424
16,1,16,0.3946,13.8006,0.0938,L,10.241277606653592,11.356672217679185,12.542615381313238,13.8006,15.132092468966304,16.538534103487937,18.02134244141074
17,1,17,0.3839,13.8854,0.09347000000000001,L,10.320746057704863,11.436965162163185,12.624630422772372,13.8854,15.220907831568079,16.632764837698964,18.12256002691806
18,1,18,0.3735,13.9707,0.09315,L,10.400221002597927,11.517450541748792,12.707003152351566,13.9707,15.31034118303418,16.727706697405527,18.22455732651209
19,1,19,0.3636,14.0558,0.09285,L,10.478735922168589,11.597256127363472,12.788951172177933,14.0558,15.399764354075115,16.822789500739617,18.32680489967422
20,1,20,0.3541,14.1404,0.09257,L,10.556106417157446,11.676149273686246,12.870202804576683,14.1404,15.488861164405986,16.917694404471668,18.428996083410095
21,1,21,0.3449,14.2241,0.0923,L,10.632423900642472,11.754064722150273,12.950528706501357,14.2241,15.57705520227938,17.01166363047777,18.530187566303493
22,1,22,0.336,14.3065,0.09204,L,10.707382867818419,11.830666696449377,13.029561676807893,14.3065,15.663912009173162,17.104226258042466,18.629869565861757
23,1,23,0.3274,14.3877,0.0918,L,10.780695602318268,11.905778979721932,13.107254500690265,14.3877,15.749697660234343,17.19583388803698,18.728699197402893
24,1,24,0.3191,14.4675,0.09156,L,10.852914837175101,11.979736191554931,13.18369148884491,14.4675,15.833891972300462,17.2856083508724,18.82540051500126
25,1,25,0.311,14.5457,0.09134,L,10.92321705423117,12.05188102797057,13.258422052812755,14.5457,15.916592815445524,17.37399611545934,18.920822802477154
26,1,26,0.3032,14.6225,0.09112,L,10.992413883452885,12.12286183204897,13.33189188400413,14.6225,15.997707633521719,17.46056123426415,19.01413177436712
27,1,27,0.2955,14.6977,0.09092,L,11.059722223443048,12.192038651020804,13.403653577043926,14.6977,16.077344324567257,17.545785805719156,19.106256016465885
28,1,28,0.2881,14.7714,0.09072000000000001,L,11.125838461873398,12.259959948265902,13.474058703117944,14.7714,16.155290657610642,17.62907846159792,19.19615160904761
29,1,29,0.2809,14.8436,0.09053,L,11.19044219550559,12.32638562395444,13.542973040421053,14.8436,16.231712044356897,17.710804138188607,19.28442012596097
30,1,30,0.2738,14.914000000000001,0.09035,L,11.253346150901907,12.391083045214982,13.610125783296962,14.914000000000001,16.306290156455315,17.79063902980722,19.370747219689417
31,1,31,0.2669,14.9822,0.09017,L,11.314561126240628,12.45395449539825,13.675283350721479,14.9822,16.378424633901485,17.867744908317846,19.45401553912774
32,1,32,0.2602,15.0485,0.09,L,11.373942794600628,12.514984147814296,13.738577641504802,15.0485,16.44860509384312,17.942823653612297,19.535162991392585
33,1,33,0.2536,15.1127,0.08984,L,11.431378717231125,12.574022187303862,13.799829032241252,15.1127,16.516622573709075,18.015670858215795,19.61400546933219
34,1,34,0.2472,15.175,0.08968,L,11.487336902685557,12.63147279610138,13.859353443706256,15.175,16.582530057339895,18.08615774395975,19.690193819935185
35,1,35,0.2409,15.2355,0.08953,L,11.541565306549849,12.687173542829882,13.91710471740211,15.2355,16.6466069849511,18.154780042423653,19.764480663298276
36,1,36,0.2348,15.2942,0.08938,L,11.594383647018429,12.741364446516542,13.97321742479205,15.2942,16.708686051019054,18.221166558900958,19.836250238417858
37,1,37,0.2287,15.3511,0.08924,L,11.645507825423948,12.793819969686473,14.027558954266086,15.3511,16.768945247305915,18.285724735008497,19.90619736670693
38,1,38,0.2228,15.4062,0.0891,L,11.695214469786567,12.844760417983982,14.080259220125955,15.4062,16.827209259342595,18.34805222968854,19.973634210554724
39,1,39,0.217,15.4597,0.08897000000000001,L,11.743324296994743,12.894104153374265,14.131361849063664,15.4597,16.88386927679006,18.40877017101435,20.039454748220656
40,1,40,0.2113,15.5115,0.08884,L,11.790131197631723,12.942033031168272,14.180917920152428,15.5115,16.93865227608473,18.46740884480688,20.10296710353884
41,1,41,0.2058,15.5618,0.08871,L,11.835739748660373,12.988690952130494,14.229103832671386,15.5618,16.99177066164379,18.524179328883694,20.164364515743397
42,1,42,0.2003,15.6107,0.08859,L,11.879937979145868,13.033932768159428,14.27587653122665,15.6107,17.043514610743514,18.579615744124087,20.224485964572196
43,1,43,0.1949,15.6582,0.08847000000000001,L,11.923053690256877,13.07800474256876,14.321374237966824,15.6582,17.093711750517844,18.633334921402923,20.28269447491332
44,1,44,0.1896,15.7043,0.08835,L,11.965085118509075,13.120905706362933,14.365596394596231,15.7043,17.142362497089945,18.68533743860457,20.338990396361066
45,1,45,0.1844,15.7492,0.08824,L,12.00580433377056,13.16252955249689,14.408578954560474,15.7492,17.18985471013229,18.736224735131927,20.39421645661276
46,1,46,0.1793,15.7929,0.08813,L,12.045587158123103,13.203146260798745,14.450467202939295,15.7929,17.236020669751202,18.785636981583124,20.44779425849603
47,1,47,0.1743,15.8353,0.08802,L,12.084355915699865,13.242671291024763,14.49116918937725,15.8353,17.280751571329,18.83345567495442,20.499594543111165
48,1,48,0.1693,15.8767,0.08792,L,12.122002342124691,13.28110222173068,14.530817238020532,15.8767,17.324552394191343,18.88043281483966,20.55066349235997
49,1,49,0.1645,15.9169,0.08782000000000001,L,12.158662316367566,13.318500922122187,14.5693633105399,15.9169,17.367022350330323,18.92591057413742,20.60002187399745
50,1,50,0.1597,15.956,0.08772,L,12.19450059189376,13.35499299607672,14.606910009942144,15.956,17.40828396875883,18.970064393657605,20.64793422361913
51,1,51,0.155,15.9941,0.08762,L,12.22954771116306,13.390640038737274,14.64354279876195,15.9941,17.448440046259172,19.012985431100947,20.69446262556821
52,1,52,0.1503,16.0311,0.08753,L,12.263387769839143,13.425103183693919,14.679026756277876,16.0311,17.487560930650815,19.054954670289305,20.74014428327411
53,1,53,0.1457,16.0672,0.08743,L,12.296893553360327,13.459078947395993,14.713836158105813,16.0672,17.525513710200936,19.095440479859654,20.78397526255835
54,1,54,0.1412,16.1023,0.08734,L,12.329221093256654,13.491931000192311,14.747581356554518,16.1023,17.562535174591844,19.13506802128751,20.827025393291994
55,1,55,0.1368,16.1365,0.08725,L,12.360829123443018,13.524018302935366,14.780502398981431,16.1365,17.59856199856813,19.173585063116402,20.868825486194794
56,1,56,0.1324,16.1698,0.08717000000000001,L,12.391376187038516,13.555084055015753,14.81245487985667,16.1698,17.633775301227093,19.211395722317675,20.910050194417785
57,1,57,0.128,16.2021,0.08707999999999999,L,12.421554384821018,13.58559843838985,14.843646365598078,16.2021,17.667717999709296,19.247631424439987,20.94935980856165
58,1,58,0.1238,16.2336,0.087,L,12.450656920667347,13.61513073286183,14.873948438302675,16.2336,17.700944230549187,19.283225441871043,20.988090656038118
59,1,59,0.1196,16.2642,0.08692000000000001,L,12.479080189186233,13.643916579774537,14.903430531142272,16.2642,17.73318399118497,19.31774032343073,21.025644026815627
60,1,60,0.1154,16.2941,0.08684,L,12.506976868775244,13.672123268727118,14.932275685770398,16.2941,17.76465551462801,19.351413881977944,21.062278737546084
61,1,61,0.1113,16.3231,0.08676,L,12.534148580101588,13.699561366657239,14.960294706953592,16.3231,17.795134293914685,19.383980386182486,21.097667712317072
62,1,62,0.1072,16.3513,0.08669,L,12.560327948397367,13.726055777192567,14.987433441242757,16.3513,17.824912738902597,19.415968499121316,21.132625882665177
63,1,63,0.1032,16.3787,0.08661,L,12.586245067992344,13.752144024443915,15.01398832450913,16.3787,17.853631530365167,19.446588401015678,21.165852627263835
64,1,64,0.0993,16.4053,0.08653999999999999,L,12.611123791715814,13.777265956240882,15.039656391065218,16.4053,17.881644371175902,19.47660358528414,21.19858308401507
65,1,65,0.0954,16.4312,0.08646000000000001,L,12.635860767640034,13.802086696274424,15.064838016781543,16.4312,17.908712779598837,19.505396437245867,21.229777247984718
66,1,66,0.0915,16.4562,0.08639,L,12.659524507129081,13.825876802291354,15.089046043112702,16.4562,17.93497382886579,19.533496488522925,21.260418425483568
