,sex,age,l,m,s,z=-3,z=-2,z=-1,z=0,z=1,z=2,z=3
0,1,0,1,34.4618,0.036860000000000004,30.651014155999995,31.921276103999997,33.191538052,34.4618,35.732061947999995,37.002323896,38.272585844
1,1,1,1,34.562,0.03656,30.771239839999996,32.03482656,33.29841328,34.562,35.82558672,37.08917344,38.352760159999995
2,1,2,1,34.6622,0.03625,30.89268575,32.149190499999996,33.40569525,34.6622,35.918704749999996,37.1752095,38.43171424999999
3,1,3,1,34.7625,0.03595,31.013364375000002,32.263076250000005,33.512788125,34.7625,36.012211875,37.26192375000001,38.511635625000004
4,1,4,1,34.8627,0.03564,31.135180115999997,32.377686743999995,33.620193371999996,34.8627,36.10520662799999,37.347713256,38.59021988399999
5,1,5,1,34.9629,0.03533,31.257182228999998,32.492421486,33.727660743,34.9629,36.198139257,37.433378514,38.668617771
6,1,6,1,35.0631,0.03503,31.378318820999997,32.606579214,33.834839607,35.0631,36.291360393,37.519620786,38.747881179
7,1,7,1,35.1634,0.03472,31.500780256000002,32.721653504,33.942526752000006,35.1634,36.38427324800001,37.605146496,38.82601974400001
8,1,8,1,35.2636,0.03441,31.623338571999994,32.836759048,34.050179523999994,35.2636,36.477020476,37.690440952,38.90386142799999
9,1,9,1,35.3638,0.03411,31.745022345999995,32.951281564,34.157540782,35.3638,36.570059218,37.776318436,38.982577653999996
10,1,10,1,35.464,0.0338,31.8679504,33.066633599999996,34.265316799999994,35.464,36.662683200000004,37.8613664,39.0600496
11,1,11,1,35.5643,0.0335,31.990087850000002,33.181491900000005,34.37289595,35.5643,36.755704050000006,37.9471081,39.138512150000004
12,1,12,1,35.6645,0.03319,32.113385735,33.297090489999995,34.480795244999996,35.6645,36.848204755,38.03190951,39.21561426499999
13,1,13,1,35.7647,0.03288,32.236869991999995,33.412813328,34.588756663999995,35.7647,36.940643336,38.116586672,39.292530008
14,1,14,1,35.8649,0.03258,32.359464674,33.527943115999996,34.696421558,35.8649,37.033378442,38.201856884,39.370335325999996
15,1,15,1,35.9652,0.03248,32.460750912,33.628900608,34.797050304,35.9652,37.133349696,38.301499392,39.469649088000004
16,1,16,1,36.0632,0.032389999999999995,32.558938856000005,33.727025904,34.895112952,36.0632,37.231287048,38.399374096,39.567461144
17,1,17,1,36.159,0.0323,32.6551929,33.8231286,34.9910643,36.159,37.3269357,38.4948714,39.662807099999995
18,1,18,1,36.2526,0.03221,32.749511262,33.917207508,35.084903754,36.2526,37.42029624600001,38.587992492,39.755688738
19,1,19,1,36.3441,0.03213,32.840892200999996,34.008628134,35.176364066999994,36.3441,37.511835933,38.679571865999996,39.847307799
20,1,20,1,36.4338,0.03205,32.93069013,34.098393419999994,35.26609671,36.4338,37.60150329,38.76920658,39.936909869999994
21,1,21,1,36.5216,0.03197,33.018813344,34.186408895999996,35.354004448,36.5216,37.689195552,38.856791104,40.024386656
22,1,22,1,36.6078,0.031889999999999995,33.105531774,34.272954516,35.440377258,36.6078,37.775222742,38.942645483999996,40.110068225999996
23,1,23,1,36.6922,0.03182,33.189562588,34.357108392,35.524654196,36.6922,37.859745804,39.027291608,40.194837412000005
24,1,24,1,36.7751,0.03175,33.272271725,34.439881150000005,35.60749057500001,36.7751,37.942709425,39.11031885,40.277928275
25,1,25,1,36.8566,0.03168,33.353748736,34.521365824,35.688982912,36.8566,38.024217088,39.191834176,40.359451264
26,1,26,1,36.9366,0.03161,33.433902222,34.601468147999995,35.769034074,36.9366,38.10416592599999,39.271731852,40.439297778
27,1,27,1,37.0152,0.03154,33.512821775999996,34.680281184,35.847740592,37.0152,38.182659408,39.350118816,40.517578224
28,1,28,1,37.0926,0.03148,33.589574856,34.757249904,35.924924952,37.0926,38.260275048,39.427950096,40.595625144
29,1,29,1,37.1687,0.03141,33.666293399,34.833762266,36.001231133,37.1687,38.336168867,39.503637734,40.671106601000005
30,1,30,1,37.2435,0.03135,33.740748825,34.90833255,36.075916275,37.2435,38.411083725,39.57866745,40.746251175
31,1,31,1,37.3172,0.03129,33.814234436,34.981889624000004,36.149544811999995,37.3172,38.484855188000004,39.652510376,40.82016556399999
32,1,32,1,37.3898,0.03123,33.886749638,35.054433092000004,36.222116546,37.3898,38.55748345400001,39.725166908,40.892850362000004
33,1,33,1,37.4612,0.031180000000000003,33.957079352,35.125119568,36.293159784,37.4612,38.629240216,39.797280431999994,40.965320647999995
34,1,34,1,37.5316,0.03112,34.027649824,35.195633216,36.363616607999994,37.5316,38.699583392,39.867566784,41.035550176
35,1,35,1,37.601,0.03107,34.09621079,35.26447386,36.43273693,37.601,38.769263069999994,39.93752614,41.10578921
36,1,36,1,37.6694,0.031010000000000003,34.16501571800001,35.333143812,36.50127190600001,37.6694,38.837528094,40.005656188,41.173784282
37,1,37,1,37.7368,0.03096,34.231806016,35.400137344,36.568468672,37.7368,38.905131328,40.073462656000004,41.241793984000005
38,1,38,1,37.8034,0.030910000000000003,34.297890718000005,35.46639381200001,36.634896906,37.8034,38.971903094000005,40.140406188,41.308909282
39,1,39,1,37.869,0.030860000000000002,34.36308798,35.53172532,36.70036266,37.869,39.03763734,40.20627468,41.374912020000004
40,1,40,1,37.9338,0.03081,34.427578866,35.596319244,36.765059621999995,37.9338,39.102540378,40.271280755999996,41.440021134
41,1,41,1,37.9978,0.030760000000000003,34.491363015999994,35.660175343999995,36.828987672,37.9978,39.16661232799999,40.335424656,41.504236983999995
42,1,42,1,38.0609,0.030719999999999997,34.553207455999996,35.722438304,36.891669152,38.0609,39.230130848,40.39936169599999,41.568592544
43,1,43,1,38.1233,0.03067,34.615575166999996,35.784816778,36.954058389000004,38.1233,39.292541611,40.461783222,41.631024833
44,1,44,1,38.185,0.030619999999999998,34.6773259,35.8465506,37.0157753,38.185,39.3542247,40.523449400000004,41.692674100000005
45,1,45,1,38.2459,0.03058,34.737221133999995,35.906780755999996,37.076340378,38.2459,39.415459622,40.585019244,41.754578865999996
46,1,46,1,38.3061,0.030539999999999998,34.796495118,35.966363412,37.136231706000004,38.3061,39.475968294,40.645836588,41.815704882
47,1,47,1,38.3655,0.030489999999999996,34.856207715,36.025971809999994,37.195735905,38.3655,39.535264094999995,40.70502819,41.874792285
48,1,48,1,38.4243,0.03045,34.914240195,36.084260130000004,37.254280065,38.4243,39.59431993500001,40.76433987,41.93435980500001
49,1,49,1,38.4824,0.030410000000000003,34.971650648,36.141900432,37.312150216,38.4824,39.652649784,40.822899568000004,41.993149351999996
50,1,50,1,38.5399,0.030369999999999998,35.028529711000004,36.198986474,37.369443237000006,38.5399,39.710356763,40.880813526000004,42.051270289
51,1,51,1,38.5968,0.030330000000000003,35.084877168,36.255518112,37.426159056,38.5968,39.767440944,40.938081888,42.108722832000005
