,sex,age,l,m,s,z=-3,z=-2,z=-1,z=0,z=1,z=2,z=3
0,1,61,1,110.2647,0.041639999999999996,96.490433676,101.081855784,105.673277892,110.2647,114.856122108,119.44754421600001,124.038966324
1,1,62,1,110.8006,0.04172,96.93279690400001,101.555397936,106.17799896800001,110.8006,115.423201032,120.045802064,124.66840309599999
2,1,63,1,111.3338,0.0418,97.37254148,102.02629431999999,106.68004716,111.3338,115.98755284,120.64130567999999,125.29505852
3,1,64,1,111.8636,0.04187,97.81241320400001,102.496142136,107.17987106800001,111.8636,116.54732893200001,121.231057864,125.914786796
4,1,65,1,112.3895,0.04195,98.245281425,102.96002095,107.674760475,112.3895,117.104239525,121.81897905000001,126.533718575
5,1,66,1,112.911,0.04203,98.67405201,103.41970134,108.16535067,112.911,117.65664933000001,122.40229866,127.14794799
6,1,67,1,113.428,0.04211,99.09864076,103.87509384,108.65154692,113.428,118.20445308000001,122.98090615999999,127.75735924
7,1,68,1,113.941,0.04218,99.52290586000001,104.32893724,109.13496862000001,113.941,118.74703138000001,123.55306276,128.35909414000002
8,1,69,1,114.45,0.04226,99.940029,104.776686,109.613343,114.45,119.286657,124.123314,128.95997100000002
9,1,70,1,114.9547,0.042339999999999996,100.353154006,105.220336004,110.087518002,114.9547,119.82188199800001,124.68906399600002,129.556245994
10,1,71,1,115.4549,0.04241,100.765573073,105.66201538199999,110.55845769099999,115.4549,120.351342309,125.24778461800001,130.14422692699998
11,1,72,1,115.9509,0.04249,101.17063877700001,106.09739251799999,111.024146259,115.9509,120.87765374099999,125.80440748200002,130.73116122300002
12,1,73,1,116.4432,0.04257,101.572238928,106.529225952,111.486212976,116.4432,121.400187024,126.357174048,131.314161072
13,1,74,1,116.9325,0.04264,101.9744946,106.9604964,111.94649820000001,116.9325,121.9185018,126.90450360000001,131.8905054
14,1,75,1,117.4196,0.04272,102.371104064,107.387269376,112.403434688,117.4196,122.43576531200002,127.451930624,132.468095936
15,1,76,1,117.9046,0.0428,102.76564936000001,107.81196624,112.85828312000001,117.9046,122.95091688,127.99723375999999,133.04355064
16,1,77,1,118.388,0.04287,103.16211932,108.23741288,113.31270644000001,118.388,123.46329356,128.53858712,133.61388068000002
17,1,78,1,118.87,0.04295,103.5536005,108.65906700000001,113.7645335,118.87,123.97546650000001,129.08093300000002,134.1863995
18,1,79,1,119.3508,0.04303,103.94380522800002,109.079470152,114.21513507600001,119.3508,124.48646492399999,129.62212984800001,134.757794772
19,1,80,1,119.8303,0.04311,104.332647301,109.498531534,114.664415767,119.8303,124.996184233,130.162068466,135.32795269899998
20,1,81,1,120.3085,0.04318,104.72373691,109.91865794,115.11357896999999,120.3085,125.50342103,130.69834206,135.89326309
21,1,82,1,120.7853,0.04326,105.109783766,110.334955844,115.560127922,120.7853,126.01047207800002,131.235644156,136.46081623400002
22,1,83,1,121.2604,0.04334,105.494122792,110.749548528,116.004974264,121.2604,126.515825736,131.77125147200002,137.026677208
23,1,84,1,121.7338,0.04342,105.87675521199999,111.162436808,116.448118404,121.7338,127.019481596,132.305163192,137.590844788
24,1,85,1,122.2053,0.0435,106.25750834999998,111.5734389,116.88936944999999,122.2053,127.52123055,132.8371611,138.15309165
25,1,86,1,122.675,0.04358,106.6364705,111.982647,117.3288235,122.675,128.0211765,133.36735299999998,138.7135295
26,1,87,1,123.1429,0.043660000000000004,107.013642958,112.39006197199998,117.76648098599999,123.1429,128.519319014,133.895738028,139.272157042
27,1,88,1,123.6092,0.04374,107.389200776,112.795867184,118.202533592,123.6092,129.01586640800002,134.422532816,139.82919922399998
28,1,89,1,124.0736,0.04382,107.762884544,113.19978969600001,118.636694848,124.0736,129.510505152,134.947410304,140.384315456
29,1,90,1,124.5361,0.0439,108.13469563,113.60183042,119.06896521,124.5361,130.00323479000002,135.47036958,140.93750437
