m_boys_wt,s_boys_wt,m_girls_wt,s_girls_wt,m_boys_lh,s_boys_lh,m_girls_lh,s_girls_lh,m_boys_hc,s_boys_hc,m_girls_hc,s_girls_hc
-0.397746116,0.207817212,-0.488910019,0.207817212,3.487772942,0.069114156,3.456276894,0.069114156,24.77618599,1.734309435,23.98039627,1.734309435
-0.366197199,0.206175789,-0.457361102,0.206175789,3.49602294,0.06827344,3.464526653,0.06827344,24.94226837,1.713196754,24.14647865,1.713196754
-0.335144132,0.204570517,-0.426308036,0.204570517,3.504149437,0.06745261,3.472653389,0.06745261,25.10661507,1.69259727,24.31082344,1.69259727
-0.3045775,0.203000516,-0.395741403,0.203000516,3.512155056,0.066651158,3.480659008,0.066651158,25.26924515,1.67249918,24.47345543,1.67249918
-0.27448678,0.201464862,-0.365650684,0.201464862,3.520042419,0.065868579,3.488546371,0.065868579,25.43019104,1.652889848,24.63440132,1.652889848
-0.244862199,0.19996272,-0.336026102,0.19996272,3.527813911,0.06510438,3.496317863,0.06510438,25.58947754,1.633757353,24.79368782,1.633757353
-0.215693831,0.198493227,-0.306857735,0.198493227,3.535471916,0.064358085,3.503975868,0.064358085,25.74713326,1.615090132,24.95134354,1.615090132
-0.186973155,0.197055608,-0.278137058,0.197055608,3.543018579,0.063629247,3.511522532,0.063629247,25.90317726,1.596877217,25.10738754,1.596877217
-0.158690706,0.195649058,-0.249854594,0.195649058,3.550456285,0.062917419,3.518959999,0.062917419,26.05763817,1.579107523,25.26184845,1.579107523
-0.130837277,0.194272786,-0.22200118,0.194272786,3.55778718,0.062222157,3.526291132,0.062222157,26.21054077,1.561770201,25.41475105,1.561770201
-0.103405006,0.192926094,-0.194568902,0.192926094,3.565013409,0.061543062,3.533517361,0.061543062,26.36190414,1.544855475,25.56611443,1.544855475
-0.076385126,0.19160825,-0.167549029,0.19160825,3.572137117,0.060879711,3.540641069,0.060879711,26.51175308,1.528352976,25.71596336,1.528352976
-0.049769428,0.190318525,-0.140933335,0.190318525,3.579160452,0.060231712,3.547664165,0.060231712,26.66011238,1.512253046,25.86432266,1.512253046
-0.02354959,0.189056247,-0.11471349,0.189056247,3.586085081,0.059598673,3.554589033,0.059598673,26.80700302,1.496545792,26.0112133,1.496545792
0.002281486,0.187820762,-0.088882416,0.187820762,3.592913151,0.058980238,3.561417103,0.058980238,26.95244598,1.48122263,26.15665627,1.48122263
0.027731754,0.186611444,-0.06343215,0.186611444,3.599646568,0.058376037,3.56815052,0.058376037,27.09646225,1.466274261,26.30067253,1.466274261
0.052808963,0.185427621,-0.038354937,0.185427621,3.606287241,0.057785705,3.574790955,0.057785705,27.23907661,1.451691628,26.4432869,1.451691628
0.077519678,0.184268728,-0.013644221,0.184268728,3.612836599,0.057208922,3.581340551,0.057208922,27.38030434,1.437466741,26.58451271,1.437466741
0.101871304,0.183134153,0.010707404,0.183134153,3.619296789,0.056645341,3.587800741,0.056645341,27.5201664,1.423591018,26.72437668,1.423591018
0.125870734,0.182023332,0.034706831,0.182023332,3.625669241,0.056094643,3.594173193,0.056094643,27.65868378,1.410056472,26.86289406,1.410056472
0.149525002,0.180935681,0.058361102,0.180935681,3.6319561,0.055556506,3.600459814,0.055556506,27.79587746,1.396854877,27.00008774,1.396854877
0.172840059,0.17987068,0.081676155,0.17987068,3.638158321,0.05503064,3.606662273,0.05503064,27.9317627,1.383979201,27.13597298,1.383979201
0.195822626,0.178827807,0.104658723,0.178827807,3.644278049,0.05451674,3.612781763,0.05451674,28.06636047,1.371421576,27.27057076,1.371421576
0.218479261,0.177806512,0.127315372,0.177806512,3.650316477,0.054014511,3.618820429,0.054014511,28.19968987,1.359174728,27.40390015,1.359174728
0.24081549,0.176806331,0.149651602,0.176806331,3.656275511,0.053523682,3.624779224,0.053523682,28.33176613,1.347231865,27.53597641,1.347231865
0.262837589,0.175826758,0.171673685,0.175826758,3.662156105,0.05304398,3.630660057,0.05304398,28.46260834,1.335585833,27.66681862,1.335585833
0.284551382,0.174867317,0.193387493,0.174867317,3.667960167,0.05257513,3.636464119,0.05257513,28.59223175,1.324230075,27.79644203,1.324230075
