,sex,age,l,m,s,loh,z=-3,z=-2,z=-1,z=0,z=1,z=2,z=3
0,1,0,1,49.8842,0.03795,L,44.20488383,46.09798922,47.99109461,49.8842,51.777305389999995,53.670410780000005,55.56351617
1,1,1,1,50.0601,0.03785,L,44.375775645,46.27055043,48.165325214999996,50.0601,51.954874784999994,53.849649570000004,55.744424355
2,1,2,1,50.2359,0.03775,L,44.546684325,46.44308955,48.339494775000006,50.2359,52.132305224999996,54.02871045,55.92511567500001
3,1,3,1,50.4118,0.03764,L,44.719299544,46.616799696,48.514299848,50.4118,52.30930015199999,54.206800304,56.104300456
4,1,4,1,50.5876,0.03754,L,44.89042448800001,46.789482992,48.688541496,50.5876,52.486658504,54.385717008,56.284775511999996
5,1,5,1,50.7635,0.03744,L,45.06174368,46.96232912,48.86291456,50.7635,52.664085439999994,54.56467088,56.46525632
6,1,6,1,50.9393,0.03734,L,45.233079614000005,47.135153076,49.037226538,50.9393,52.841373462,54.743446924000004,56.645520386
7,1,7,1,51.1152,0.03723,L,45.406143312000005,47.309162208000004,49.212181104,51.1152,53.01821889600001,54.921237792,56.824256688000006
8,1,8,1,51.291000000000004,0.03713,L,45.577695510000005,47.482130340000005,49.386565170000004,51.291000000000004,53.19543483000001,55.09986966,57.00430449000001
9,1,9,1,51.4669,0.03703,L,45.749442079,47.655261386,49.561080693,51.4669,53.372719307,55.278538614000006,57.184357921
10,1,10,1,51.6427,0.036930000000000004,L,45.921205267,47.82837017799999,49.735535088999995,51.6427,53.54986491099999,55.457029822,57.364194733
11,1,11,1,51.8186,0.03682,L,46.094717444000004,48.002678296,49.91063914800001,51.8186,53.726560852000006,55.634521704,57.542482556
12,1,12,1,51.9944,0.036719999999999996,L,46.266696896,48.175931264,50.085165632,51.9944,53.903634368000006,55.812868736,57.722103104
13,1,13,1,52.1702,0.03662,L,46.438781828,48.349254552000005,50.259727276,52.1702,54.080672724,55.991145448,57.901618172000006
14,1,14,1,52.3461,0.03652,L,46.611061284,48.522740856,50.434420428,52.3461,54.257779572,56.169459144,58.081138716000005
15,1,15,1,52.4978,0.03645,L,46.75716557,48.67071038,50.58425519,52.4978,54.41134481,56.32488961999999,58.23843443
16,1,16,1,52.6488,0.03639,L,46.901130504,48.817020336000006,50.732910168,52.6488,54.564689832,56.480579664000004,58.396469496
17,1,17,1,52.799,0.03633,L,47.04443699,48.96262466,50.88081233,52.799,54.71718767,56.635375339999996,58.55356301
18,1,18,1,52.9483,0.03627,L,47.186995477,49.107430318,51.027865159,52.9483,54.868734841000006,56.78916968200001,58.70960452300001
