,sex,age,l,m,s,z=-3,z=-2,z=-1,z=0,z=1,z=2,z=3
0,1,61,-0.2026,18.5057,0.12988,12.718451314155944,14.366847655090691,16.279036996950772,18.5057,21.108972450415486,24.165445302191973,27.770064452477907
1,1,62,-0.213,18.6802,0.13028,12.833290503895094,14.496072134615638,16.427536660125075,18.6802,21.31872731497104,24.423206406485154,28.0934356417734
2,1,63,-0.2234,18.8563,0.13067,12.949557088983854,14.626742271656395,16.57752713235537,18.8563,21.53032190907109,24.68329268102866,28.420058395142828
3,1,64,-0.2338,19.034,0.13105,13.067256563959221,14.758862751713695,16.729011321553116,19.034,21.743752638753175,24.945698253783146,28.749931391711588
4,1,65,-0.2443,19.2132,0.13142,13.186416507154322,14.892408170755813,16.88191830843047,19.2132,21.958921278996424,25.210380744995497,29.083159761109865
5,1,66,-0.2548,19.394,0.13178,13.307022329720139,15.027414641630982,17.036325418314227,19.394,22.175919015650344,25.47737312449426,29.419645093498676
6,1,67,-0.2653,19.5765,0.13213,13.429148391145588,15.163964553966304,17.192323564183926,19.5765,22.394856223264444,25.74679986613128,29.75953612056678
7,1,68,-0.2758,19.7607,0.13246,13.55316693454687,15.302348056058836,17.350083220760006,19.7607,22.615494153417796,26.018092555537685,30.101815475800805
8,1,69,-0.2864,19.9468,0.13279000000000002,13.678583997779034,15.442205789928122,17.50946431766057,19.9468,22.838545615056358,26.292725375414477,30.44907982169025
9,1,70,-0.2969,20.1344,0.13310999999999998,13.805308814929093,15.583418349420644,17.6702558224121,20.1344,23.0632742576679,26.569405703539932,30.799155766223915
10,1,71,-0.3075,20.3235,0.13342,13.933536212602457,15.726090322193794,17.832490690993513,20.3235,23.28971806259951,26.848332346978147,31.15260991140435
11,1,72,-0.318,20.5137,0.13372,14.062807973021263,15.869817407528732,17.995791573939453,20.5137,23.51737005561571,27.128754468441556,31.50823207432599
12,1,73,-0.3285,20.7052,0.13402,14.19298619955261,16.01451547064232,18.16017852334558,20.7052,23.746723940756105,27.41163116615222,31.86770864675161
13,1,74,-0.339,20.8979,0.13432,14.324002841890943,16.160107212224673,18.325563500002307,20.8979,23.977667924592605,27.69684321130457,32.23092814326994
14,1,75,-0.3494,21.0918,0.13462000000000002,14.455759646006362,16.306540315092217,18.49193045355452,21.0918,24.21018143999018,27.98428802460752,32.5976081286154
15,1,76,-0.3598,21.287,0.13493,14.58804078105927,16.453643589078737,18.659204190154234,21.287,24.444661708661204,28.27484916903149,32.96941516304513
16,1,77,-0.3701,21.4833,0.13523,14.721371318487432,16.601807110411436,18.82754752435244,21.4833,24.680346856420904,28.566910302729184,33.34344777217284
17,1,78,-0.3804,21.681,0.13554000000000002,14.855290108510431,16.75071341840913,18.996881574039556,21.681,24.918124556084376,28.862260852365967,33.72287699070746
18,1,79,-0.3906,21.8799,0.13585999999999998,14.989552564304493,16.900147882416565,19.167010162678192,21.8799,25.157751899869464,29.160550398025023,34.107142941655276
19,1,80,-0.4007,22.08,0.13618,15.124540608893097,17.05041078753754,19.33811170283965,22.08,25.3989709167282,29.46115128047206,34.4950928384657
20,1,81,-0.4107,22.2813,0.13652,15.259468377070878,17.200881897869674,19.509815813231448,22.2813,25.642326730258468,29.765411626301013,34.88926745534568
21,1,82,-0.4207,22.4837,0.13685999999999998,15.395145872898576,17.35214974186114,19.682415143533042,22.4837,25.887201049919412,30.072033060590254,35.28748447685065
22,1,83,-0.4305,22.6872,0.13722,15.530570685857336,17.503474784713767,19.855499837508805,22.6872,26.13409912150174,30.382138490166188,35.69161626550148
23,1,84,-0.4402,22.8915,0.13759000000000002,15.666025151291565,17.654983330631463,20.02900401054802,22.8915,26.382440439996774,30.69482087820156,36.10039704164979
24,1,85,-0.4499,23.0968,0.13797,15.801745779593308,17.806880488910146,20.203115491096042,23.0968,26.632493944712134,31.01052439529347,36.51464484188601
25,1,86,-0.4594,23.3029,0.13838,15.93657037776934,17.95825228710852,20.377235910566373,23.3029,26.88455955531576,31.33017383545008,36.93606539002813
26,1,87,-0.4688,23.5101,0.1388,16.071598248803127,18.110010040602557,20.552017855594407,23.5101,27.13846016422325,31.652950892853184,37.362987686131156
27,1,88,-0.4781,23.7182,0.13923,16.206684593947845,18.26199240856895,20.72728138176248,23.7182,27.393976606574878,31.97862516216158,37.795197638942135
28,1,89,-0.4873,23.9272,0.13969,16.341007217195205,18.413543929152016,20.902630052396017,23.9272,27.65171388873808,32.308731405956465,38.23568261687672
29,1,90,-0.4964,24.1371,0.14015999999999998,16.47536504185718,18.565298459711947,21.078444753995484,24.1371,27.91110336367328,32.6418544417164,38.681767443224174
30,1,91,-0.5053,24.3479,0.14065,16.609225422637792,18.716859131598426,21.254502799975615,24.3479,28.172429605149375,32.97864430013875,39.13457927228891
31,1,92,-0.5142,24.5595,0.14117000000000002,16.742321379765773,18.86793026329487,21.43054603495544,24.5595,28.43596649280212,33.320134804018736,39.59661355164268
32,1,93,-0.5229,24.7722,0.1417,16.875438192998054,19.019262427150654,21.607186646740992,24.7722,28.7014119128644,33.66493658855741,40.0645747436484
33,1,94,-0.5315,24.9858,0.14226,17.007713769141038,19.170090569384165,21.78385902184839,24.9858,28.969204629913808,34.014585895958426,40.541891218133976
34,1,95,-0.5399,25.2005,0.14284000000000002,17.139564760999953,19.3208201185806,21.96090772685045,25.2005,29.23926012040681,34.3684801059082,41.027052358734984
35,1,96,-0.5482,25.4163,0.14344,17.271094361526977,19.471501787765625,22.138342950707877,25.4163,29.511634333237275,34.72686863383356,41.52078678383655
36,1,97,-0.5564,25.6332,0.14407,17.40186858632349,19.621784645255747,22.315948540185772,25.6332,29.78667550466798,35.09067150920828,42.02498634922032
37,1,98,-0.5644,25.8513,0.14472000000000002,17.53223685549781,19.771999718409337,22.493984614177652,25.8513,30.06417277541186,35.459112039605586,42.5378760446976
38,1,99,-0.5722,26.0706,0.14539000000000002,17.662181779240516,19.92213149397935,22.672440454686157,26.0706,30.344149544111232,35.8322661407008,43.05965674462121
39,1,100,-0.5799,26.2911,0.14608,17.791811783863793,20.07223377171176,22.851327125004445,26.2911,30.62666624307332,36.210408531479224,43.5911498969176
40,1,101,-0.5873,26.5128,0.14679,17.920858772656583,20.222152870532195,23.030590339771507,26.5128,30.911674103142023,36.59322748706476,44.13135271367952
41,1,102,-0.5946,26.7358,0.14752,18.04962594865464,20.372088978503527,23.210350032206915,26.7358,31.19938839735265,36.98134145439947,44.68189945356629
42,1,103,-0.6017,26.9602,0.14828,18.177606441319718,20.52168431281312,23.390445144163916,26.9602,31.49025982443934,37.375683721172955,45.24441980414454
43,1,104,-0.6085,27.1861,0.14905,18.3055755402184,20.671619840519945,23.571355728595503,27.1861,31.783703062249817,37.77445251698898,45.81494651710718
44,1,105,-0.6152,27.4137,0.14984,18.43348296339479,20.82182965319478,23.75307618131819,27.4137,32.08039954237017,38.179341973211024,46.39724572235522
45,1,106,-0.6216,27.6432,0.15066,18.560741942794696,20.971946545562435,23.935501566762902,27.6432,32.38088691529956,38.59122775506967,46.99245189816562
