,sex,height,l,m,s,lorh,z=-3,z=-2,z=-1,z=0,z=1,z=2,z=3
0,1,65.0,-0.3521,7.4327,0.08217,H,5.867894610880713,6.335242355256097,6.854363227462835,7.4327,8.079025787538127,8.803731302002294,9.61918550688646
1,1,65.1,-0.3521,7.4563,0.08216,H,5.886688600995556,6.355477909429046,6.87619374483145,7.4563,8.104594513394156,8.831497064096512,9.649410944981451
2,1,65.2,-0.3521,7.4799,0.08216,H,5.905320610300908,6.375593687853,6.897957645476277,7.4799,8.130246435998679,8.859449712288333,9.679952379513532
3,1,65.3,-0.3521,7.5034,0.08215,H,5.924037198092039,6.39574514807715,6.919696577470327,7.5034,8.15570567706759,8.887095258708559,9.710045413154598
4,1,65.4,-0.3521,7.5269,0.08213999999999999,H,5.942754816315032,6.41589736881245,6.941435931601199,7.5269,8.181164393229851,8.914739628837358,9.740136462922438
5,1,65.5,-0.3521,7.5504,0.08213999999999999,H,5.961308900756622,6.4359286683072074,6.963108033581115,7.5504,8.206707095171009,8.942572651898336,9.770546486554831
6,1,65.6,-0.3521,7.5738,0.08213999999999999,H,5.979784031647397,6.455874728229648,6.984687913850478,7.5738,8.232141104763482,8.97028723656331,9.800827105831345
7,1,65.7,-0.3521,7.5973,0.08213,H,5.998503702565906,6.476028465342747,7.006428110491571,7.5973,8.257598771084272,8.997929251310099,9.830914178200773
8,1,65.8,-0.3521,7.6206,0.08213,H,6.0169003877395575,6.495889661194232,7.027915977888469,7.6206,8.282923827534097,9.025524811779677,9.86106440266895
9,1,65.9,-0.3521,7.644,0.08213,H,6.035376028643569,6.515836098229629,7.049496067892221,7.644,8.308357575213321,9.053238808131098,9.89134402724214
10,1,66.0,-0.3521,7.6673,0.08212,H,6.0539398322123255,6.535820862973953,7.071052658263943,7.6673,8.333596813736518,9.080641605906909,9.921168339315262
11,1,66.1,-0.3521,7.6906,0.08212,H,6.0723370252386255,6.555682434336401,7.092540734501673,7.6906,8.358921609396015,9.108236580593907,9.951317573374975
12,1,66.2,-0.3521,7.7138,0.08212,H,6.090655260354941,6.575458762903301,7.113936587236237,7.7138,8.384137714945386,9.13571312191315,9.981337411580355
13,1,66.3,-0.3521,7.737,0.08212,H,6.108973495471257,6.595235091470202,7.135332439970801,7.737,8.409353820494756,9.163189663232396,10.011357249785737
14,1,66.4,-0.3521,7.7602,0.08212,H,6.127291730587572,6.615011420037102,7.156728292705366,7.7602,8.434569926044126,9.19066620455164,10.041377087991117
15,1,66.5,-0.3521,7.7834,0.08212,H,6.145609965703888,6.634787748604003,7.17812414543993,7.7834,8.459786031593497,9.218142745870884,10.071396926196499
16,1,66.6,-0.3521,7.8065,0.08212,H,6.163849242910218,6.654478834375356,7.199427774671327,7.8065,8.484893447032741,9.245500853822373,10.101287368547544
17,1,66.7,-0.3521,7.8296,0.08212,H,6.18208852011655,6.674169920146709,7.220731403902725,7.8296,8.510000862471985,9.272858961773862,10.131177810898592
18,1,66.8,-0.3521,7.8526,0.08212,H,6.200248839412897,6.693775763122516,7.241942809630957,7.8526,8.534999587801101,9.300098636357594,10.160938857395305
19,1,66.9,-0.3521,7.8757,0.08212,H,6.218488116619229,6.713466848893869,7.263246438862355,7.8757,8.560107003240345,9.327456744309083,10.190829299746353
20,1,67.0,-0.3521,7.8986,0.08213,H,6.236397318137636,6.732860152469459,7.284294824941588,7.8986,8.585085445261637,9.354776563305116,10.22079669460685
21,1,67.1,-0.3521,7.9216,0.08213,H,6.254557136120211,6.752465624769208,7.305506024517925,7.9216,8.610084428023267,9.38201681612916,10.250558718759986
22,1,67.2,-0.3521,7.9445,0.08213,H,6.272637998372427,6.7719858558850445,7.326625001487408,7.9445,8.6349747195555,9.409138633071365,10.280191342808108
23,1,67.3,-0.3521,7.9674,0.08213999999999999,H,6.290545207656324,6.791377684873761,7.347672566586429,7.9674,8.659954189190703,9.436460763235695,10.310162650584997
24,1,67.4,-0.3521,7.9903,0.08213999999999999,H,6.308625570793023,6.810897546934611,7.368791338303028,7.9903,8.684844737039748,9.46358315592065,10.339796248082099
25,1,67.5,-0.3521,8.0132,0.08213999999999999,H,6.326705933929721,6.8304174089954595,7.389910110019626,8.0132,8.70973528488879,9.490705548605602,10.369429845579198
26,1,67.6,-0.3521,8.036,0.08215,H,6.344532201917481,6.849722527114106,7.41086463423935,8.036,8.734607087575652,9.51791154662979,10.399275653718359
27,1,67.7,-0.3521,8.0588,0.08215,H,6.362533114585937,6.869156782168636,7.431890979891498,8.0588,8.759389198277088,9.544916074163783,10.428780816100737
28,1,67.8,-0.3521,8.0816,0.08216,H,6.380357898395409,6.888460801314564,7.452844892001374,8.0816,8.784261767826699,9.572123797755237,10.458629547223435
29,1,67.9,-0.3521,8.1044,0.08217,H,6.398181694999348,6.907764088949845,7.473798396363342,8.1044,8.809134849048663,9.599332673718488,10.488480232218526
30,1,68.0,-0.3521,8.1272,0.08217,H,6.416181613888591,6.92719760916455,7.494824333315748,8.1272,8.83391747016291,9.626338347791927,10.517987333212378
31,1,68.1,-0.3521,8.15,0.08217999999999999,H,6.4340039264805355,6.9464997979114305,7.5157772255920055,8.15,8.858791318279646,9.653548949470954,10.547840941580207
32,1,68.2,-0.3521,8.1727,0.08219,H,6.451746309341824,6.965716023698225,7.536637492909894,8.1727,8.883556980148299,9.6806422526695,10.577567078510484
