,sex,length,l,m,s,lorh,z=-3,z=-2,z=-1,z=0,z=1,z=2,z=3
0,1,45.0,-0.3521,2.441,0.09182,L,1.8766733659663093,2.043084583835745,2.2300874926409557,2.441,2.679807170064378,2.9513239152720705,3.261404833347798
1,1,45.1,-0.3521,2.4577,0.09176000000000001,L,1.889822624660432,2.0572941354907273,2.2454750501995684,2.4577,2.6979736692565406,2.9711340760125555,3.2830631330869537
2,1,45.2,-0.3521,2.4744,0.0917,L,1.9029761665404832,2.071506873873399,2.260864391662968,2.4744,2.71613790910495,2.9909391228459135,3.30471271622656
3,1,45.3,-0.3521,2.4911,0.09164,L,1.9161339930285508,2.0857227997110694,2.2762555172412595,2.4911,2.734299889893981,3.010739057105293,3.3263535863008804
4,1,45.4,-0.3521,2.5078,0.09158999999999999,L,1.9292433327602982,2.099902459833381,2.291626226671704,2.5078,2.752488053814703,3.0305986700186196,3.348096945586866
5,1,45.5,-0.3521,2.5244,0.09153,L,1.942332427176724,2.1140407496913864,2.306929386260478,2.5244,2.770535954063476,3.050267971863321,3.3695876297347502
6,1,45.6,-0.3521,2.5411,0.09147000000000001,L,1.9555027400211122,2.1282659639503976,2.3223257105144466,2.5411,2.7886913531537614,3.0700530118857614,3.3912031183496314
7,1,45.7,-0.3521,2.5578,0.09141,L,1.968677343004996,2.1424943684927666,2.3377238197001846,2.5578,2.80684449428972,3.0898329445131205,3.4128099076246303
8,1,45.8,-0.3521,2.5744,0.09135,L,1.9817792573146549,2.1566421914320633,2.3530323128349258,2.5744,2.8248856478904067,3.1094869861564276,3.4342746001151037
9,1,45.9,-0.3521,2.5911,0.09129,L,1.9949624322136283,2.170876969280141,2.368433987201574,2.5911,2.84303428077253,3.129256723476332,3.455864027861176
10,1,46.0,-0.3521,2.6077,0.09124,L,2.0080179498858715,2.184990086018213,2.383722939879319,2.6077,2.861100500743657,3.148967906176648,3.4774268658680167
11,1,46.1,-0.3521,2.6244,0.09118,L,2.0212093382335574,2.199230970813648,2.399128030533661,2.6244,2.879244813321042,3.168727872771188,3.4989996541965254
12,1,46.2,-0.3521,2.6411,0.09112,L,2.0344050236841014,2.2134750494510946,2.414534907146996,2.6411,2.897386869332005,3.1884827384707792,3.520563760399667
13,1,46.3,-0.3521,2.6578,0.09106,L,2.0476050076647656,2.227722322659676,2.4299435699297023,2.6578,2.9155266690605375,3.2082325046047813,3.5421191879961196
14,1,46.4,-0.3521,2.6745,0.091,L,2.0608092916033436,2.241972791168702,2.4453540190921887,2.6745,2.9336642127905863,3.227977172502166,3.5636659405029665
15,1,46.5,-0.3521,2.6913,0.09094,L,2.074094943585298,2.256310292897614,2.4608576923543577,2.6913,2.951909184200113,3.2478374226214046,3.585337240966813
16,1,46.6,-0.3521,2.7081,0.09087999999999999,L,2.087384923697642,2.27065101029753,2.4763631630496823,2.7081,2.9701518865821055,3.2676925462188016,3.6069998203220366
17,1,46.7,-0.3521,2.7249,0.09083,L,2.1006217305917954,2.2849519918170196,2.4918462849955216,2.7249,2.9884231915487103,3.2876127889366855,3.6287740958245878
18,1,46.8,-0.3521,2.7417,0.09077,L,2.113920003902995,2.299298871354082,2.507355200411115,2.7417,3.00666154446215,3.3074580843295065,3.650419953346229
19,1,46.9,-0.3521,2.7586,0.09071,L,2.127299724691943,2.3137328421278314,2.5229573717622396,2.7586,3.0250072865094895,3.3274188768983857,3.6721902178608796
20,1,47.0,-0.3521,2.7755,0.09065,L,2.140683804541475,2.3281700503508604,2.5385613520057486,2.7755,3.0433507470471257,3.3473745172176717,3.6939517220101914
21,1,47.1,-0.3521,2.7925,0.09059,L,2.1541493854329814,2.3426943891308833,2.5542586098815097,2.7925,3.061801570106824,3.3674455955499094,3.7158375342503005
22,1,47.2,-0.3521,2.8095,0.09053,L,2.1676193536304087,2.3572219857670946,2.5699576877132513,2.8095,3.0802500986407777,3.3875114934061914,3.7377145402561185
23,1,47.3,-0.3521,2.8266,0.09047000000000001,L,2.181170876475602,2.3718367523015664,2.5857500648799308,2.8266,3.09880596309277,3.407692770148257,3.7597157555439034
24,1,47.4,-0.3521,2.8437,0.09042,L,2.1946667139616935,2.386409925456467,2.601519060402175,2.8437,3.117391718817703,3.4279420582603795,3.781833551405676
25,1,47.5,-0.3521,2.8609,0.09036,L,2.208303883730914,2.4011149012386257,2.617406435144166,2.8609,3.1360527770941764,3.4482338762249634,3.803950749946019
26,1,47.6,-0.3521,2.8782,0.0903,L,2.222022699039475,2.415907113777245,2.633387146195627,2.8782,3.154821125704083,3.46864097142985,3.8261919872859607
27,1,47.7,-0.3521,2.8955,0.09024,L,2.235745984922535,2.430702644642868,2.649369710177409,2.8955,3.173587140447702,3.4890428001103224,3.8484242771586277
28,1,47.8,-0.3521,2.9129,0.09018,L,2.249550970061234,2.4455854516620072,2.6654456321872364,2.9129,3.1924604189415815,3.509559847000014,3.870780507272081
29,1,47.9,-0.3521,2.9304,0.09012,L,2.2634376940219583,2.460555564014679,2.681614928408071,2.9304,3.2114409411057196,3.530192067159084,3.893260601946085
30,1,48.0,-0.3521,2.948,0.09007000000000001,L,2.2773438102818875,2.4755664520334753,2.6978514656267714,2.948,3.2305620503358177,3.5510152445649785,3.9159943148171883
31,1,48.1,-0.3521,2.9657,0.09001,L,2.2913937421355746,2.4907109759390225,2.714207399757187,2.9657,3.249757197118669,3.571878118573935,3.938722656116353
32,1,48.2,-0.3521,2.9835,0.08995,L,2.3055255293277743,2.5059428911048576,2.730656755750673,2.9835,3.2690595284502795,3.59285603354309,3.961574639175698
33,1,48.3,-0.3521,3.0014,0.08989,L,2.3197392114933626,2.521262226745741,2.7471995498001376,3.0014,3.288469024263852,3.613948944593862,3.9845501884755694
34,1,48.4,-0.3521,3.0195,0.08983,L,2.3341121295640685,2.536753024439154,2.7639273340286348,3.0195,3.308095222211551,3.635277200213193,4.0077819585242755
35,1,48.5,-0.3521,3.0377,0.08977,L,2.3485670473500213,2.552331320028584,2.780748599354509,3.0377,3.327828530941967,3.6567203313608703,4.031137091111949
36,1,48.6,-0.3521,3.056,0.08972000000000001,L,2.36303924901788,2.567948835238883,2.797636242160056,3.056,3.347703499245474,3.6783568207204347,4.054749885482996
37,1,48.7,-0.3521,3.0745,0.08966,L,2.3777352182634823,2.5837859553167677,2.8147359038693223,3.0745,3.3677607130883125,3.7001503772605964,4.078484945012176
38,1,48.8,-0.3521,3.0931,0.0896,L,2.3925133295029197,2.5997106783561414,2.831929105025829,3.0931,3.3879249650829157,3.7220586464848937,4.1023430923031725
39,1,48.9,-0.3521,3.1119,0.08954,L,2.4074509852278645,2.615807091831925,2.8493074235040843,3.1119,3.408305760098585,3.7442019024605755,4.126456854609713
40,1,49.0,-0.3521,3.1308,0.08947999999999999,L,2.422470887922214,2.63199118580893,2.866779324505052,3.1308,3.4287935396122107,3.766459750778416,4.150693501531872
41,1,49.1,-0.3521,3.1499,0.08943,L,2.4375836485684492,2.6482972381810534,2.884408432819434,3.1499,3.4495334115314433,3.789033307388533,4.17532383135631
42,1,49.2,-0.3521,3.1691,0.08937,L,2.4528451560313833,2.6647405658480037,2.9021589578250135,3.1691,3.470344811811512,3.8116409422959667,4.1999393249898205
43,1,49.3,-0.3521,3.1884,0.08931,L,2.4681890530731883,2.6812716792497038,2.9200031237513597,3.1884,3.491263124022777,3.834363006999663,4.224677429245325
44,1,49.4,-0.3521,3.2079,0.08925,L,2.483692803811821,2.697974711792422,2.9380325342342375,3.2079,3.5123978202649457,3.857319701209344,4.249670544286787
45,1,49.5,-0.3521,3.2276,0.08918999999999999,L,2.4993564863352487,2.714849721302783,2.956247221485763,3.2276,3.533748860170718,3.880510934075867,4.2749185161903
46,1,49.6,-0.3521,3.2473,0.08913,L,2.5150252792939307,2.7317285194808703,2.974464021589613,3.2473,3.5550972462615764,3.903696187584413,4.300156346083986
47,1,49.7,-0.3521,3.2672,0.08907999999999999,L,2.53078471415212,2.7487276421262155,2.992837123182845,3.2672,3.576698847317308,3.927199659329382,4.325792080475031
48,1,49.8,-0.3521,3.2873,0.08902,L,2.5467732170154163,2.7659502813335965,3.011424414477108,3.2873,3.598479997259022,3.9508541602423968,4.351539908224001
49,1,49.9,-0.3521,3.3075,0.08896,L,2.5628444230643175,2.7832609377197666,3.0301054751473773,3.3075,3.6203678994563533,3.9746227332136606,4.37740974343888
50,1,50.0,-0.3521,3.3278,0.0889,L,2.5789983722876393,2.8006596406790276,3.048880321437987,3.3278,3.642362533910805,3.9985053336814826,4.403401511430902
51,1,50.1,-0.3521,3.3482,0.08884,L,2.595235104691864,2.818146419614619,3.067748969595817,3.3482,3.6644638806272365,4.0225019170996825,4.429515137551769
52,1,50.2,-0.3521,3.3688,0.08878,L,2.61163218441017,2.8358054824438903,3.0868030650280103,3.3688,3.6867813586235663,4.046732562796608,4.455882816334468
53,1,50.3,-0.3521,3.3894,0.08872000000000001,L,2.6280346160257255,2.853468511085374,3.1058593710024347,3.3894,3.7090960631140404,4.070956963164209,4.482239908661237
54,1,50.4,-0.3521,3.4102,0.08867,L,2.64452495786571,2.8712498507659774,3.1250708626442565,3.4102,3.731665364339298,4.0955026700554376,4.509000097671249
55,1,50.5,-0.3521,3.4311,0.08861000000000001,L,2.66117035050257,2.8891731143072144,3.1444063484811138,3.4311,3.7543029981684506,4.120075307342279,4.5357334228423385
56,1,50.6,-0.3521,3.4522,0.08855,L,2.6779763228641147,2.907268833273531,3.163927376802264,3.4522,3.7771566449037306,4.144881741668301,4.562720353405318
